review_id,rating,title,content,date,reviewer_name,reviewer_location,verified_purchase
311251170,4,Good secondary.,"[This review was collected as part of a promotion.] For casual listening there great.  If you want something with more definition, it's not for you.  I normally use them when watching shows on my computer, but not when playing games.",2023-07-15T01:56:37,TraceK,Best Buy US,True
331889881,1,Bad speakers,[This review was collected as part of a promotion.] These were not what I expected pretty bad on my part maybe it’s be good for people who don’t love sound quality I don’t know but they are bad.,2024-01-12T01:36:31,Good,Best Buy US,True
294572620,3,"They are fine, but not great.","They are fine, but I think I’ll be returning them. I’m no audio snob, but these barely put out enough sound.",2022-12-07T05:27:59,NateDawg,Best Buy US,True
340035653,5,Perfect affordable speakers,"[This review was collected as part of a promotion.] Perfect size and sound. The quality of the sound is great and the for the price, you cant beat it.",2024-03-29T23:00:28,BrianB,Best Buy US,True
346626689,5,Good Speakers,[This review was collected as part of a promotion.] These speakers do a good job with sound clarity and sharpness.,2024-06-08T01:19:23,Chris,Best Buy US,True
299825159,5,Speakers,Great price and quality will recommend to a friend !,2023-02-04T05:28:03,Anonymous reviewer,Best Buy US,True
345970499,5,Surprisingly Quality Sound,"[This review was collected as part of a promotion.] Honestly wasn’t expecting much from the speakers, but was pleasantly surprised. I’m no audiophile, but in comparison to other high-end speakers I’ve come across, these ones are pretty solid. Obviously not ideal for any sound editing, but perfect for gaming and movies.",2024-05-31T21:31:10,KhalidA,Best Buy US,True
317021469,5,Amazing product for price!,[This review was collected as part of a promotion.] I bought these just because I wanted speakers for my pc. I wasn’t excepting much for the price but they exceeded my expectations. They sound amazing and get loud. I’ve recommended them to a few of my friends and they’ve all enjoyed them.,2023-09-08T20:37:36,SethG,Best Buy US,True
316672699,5,Perfect for Office,"[This review was collected as part of a promotion.] I am in online meetings all day and wanted better sound than my laptop was providing. These guys get the job done at a great price. Won't break your bank, knock your socks off, or blow your ears out!",2023-09-05T18:57:37,Bicster,Best Buy US,True
341405447,5,Great budget friendly speakers,[This review was collected as part of a promotion.] Bought these for my 11yr old son...we bought him his first synthesizer and didn't want to buy expensive speakers if he wasn't into it...they are great for what we are using them for,2024-04-12T20:53:28,user419396,Best Buy US,False
331423428,4,Good for the Price,[This review was collected as part of a promotion.] They look great and the sound is decent for this price range of speakers. They easily pug in to the headphone jack on the monitor.,2024-01-08T06:13:28,BelindaJK,Best Buy US,True
205790148,1,Bad,"[This review was collected as part of a promotion.] The worst speakers!! Low sound, bad quality sound!! Dont buy!!! I bought 3 different speakers and this is the worst",2018-11-19T05:19:30,Shredder,Ny,False
292350809,5,Not bad at all,"They're great, I use these for gaming, movies, and for production and haven't had any issues.",2022-11-19T11:46:07,Secretshopper011,Best Buy US,True
332608171,5,Really good,[This review was collected as part of a promotion.] They work with my xbox really well plug them in and they work five stars.,2024-01-17T21:22:50,SqeezyDBNTwutchsubplz,Best Buy US,True
271623583,5,EXACTLY WHAT YOU THINK,"[This review was collected as part of a promotion.] Just believe me that these speakers sound what they look like. That’s all. Since they are powered, they pack a punch with a built-in little amp. That means you will hear a GOOD bass there. 
I connected a Belkin Airplay 2 receiver with the 3.5mm jack-to-RCA cable included and now it’s an intelligent speaker in my Apple HomeKit environment. My living room is small so these are more than enough! I totally recommend these to anyone. Besides, it’s only $99. Just return them if you don’t like them, which I doubt.",2021-11-13T07:38:10,Peter,Best Buy US,True
227648828,5,Great sound out of these speakers,[This review was collected as part of a promotion.] I absolutely love these speakers. I’ve always had portable speakers with crappy sound and these are a game changer. I love the bass and how full the sound is. I played around with all types of music and they all sound great. One thing i love most is the look and size of them. The wooden outside makes them seem more modest and modern and they fit right on my tv stand without looking bulky. I also really love the controls that are on the side of the speaker. You can play around with bass and treble and make it your own. They also come with a remote which is nice. They were super easy to set up and I had no issues. One thing that could be changed is the fact that you have to connect your device through an aux cord. I would have thought that all speakers are Bluetooth now. Regardless of that I love these speakers and highly recommend!,2020-04-21T23:36:28,Hann1026,Best Buy US,True
